Metric,Norte - Baseline,Norte - Target
Daily Orders SME,26886,34303
SME Daily Orders for Rs FO in current year,2392,4151
SME Total Rs Acquired (By BDs),2837,2483
SME # of R1s  (5+ Daily Orders),1740,2542
Promotional Coverage,TBD,TBD
Promotion quality,TBD,TBD
